symbol,name,mint,decimals,category
MSTRx,MicroStrategy,XsP7xzNPvEHS1m6qfanPUGjNmdnmsLKEoNAnHjdxxyZ,8,stock
NVDAx,NVIDIA,Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,8,stock
OPENx,Opendoor,XsGtpmjhmC8kyjVSWL4VicGu36ceq9u55PTgF8bhGv6,8,stock
ORCLx,Oracle,XsjFwUPiLofddX5cWFHW35GCbXcSu1BCUGfxoQAQjeL,8,stock
PEPx,PepsiCo,Xsv99frTRUeornyvCfvhnDesQDWuvns1M852Pez91vF,8,stock
PGx,Procter & Gamble,XsYdjDjNUygZ7yGKfQaB6TxLh2gC6RRjzLtLAGJrhzV,8,stock
PMx,Philip Morris,Xsba6tUnSjDae2VcopDB6FGGDaxRrewFCDa5hKn5vT3,8,stock
QQQx,Nasdaq 100 ETF,Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ,8,stock
SPYx,S&P 500 ETF,XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,8,stock
TBLLx,US Treasury Bill ETF,XsqBC5tcVQLYt8wqGCHRnAUUecbRYXoJCReD6w7QEKp,8,stock
TMOx,Thermo Fisher,Xs8drBWy3Sd5QY3aifG9kt9KFs2K3PGZmx7jWrsrk57,8,stock
TSLAx,Tesla,XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB,8,stock
UNHx,UnitedHealth,XszvaiXGPwvk2nwb3o9C1CX4K6zH8sez11E6uyup6fe,8,stock
WMTx,Walmart,Xs151QeqTCiuKtinzfRATnUESM2xTU6V9Wy8Vy538ci,8,stock
ABBVon,AbbVie,MFerpBVGKZh2jXN7cbJdXRXQTp6j6pbSnSZrfRondo,9,stock
ACNon,Accenture,12LxMMJYVSf4LoeqjFE47BQQNRciaH9E3nbDfjH4ondo,9,stock
AMDon,AMD,14diAn5z8kjrKwSC8WLqvBqqe5YmihJhjxRxd8Z6ondo,9,stock
APPon,AppLovin,14Z8rQQe2Aza33YgEUmj3g3QGNz8DXLiFPuCnsD1ondo,9,stock
AVGOon,Broadcom,1FWZtdWN7y38BSXGzbs8D6Shk88oL9atDNgbVz9ondo,9,stock
BACon,Bank of America,Wk8gC6iTNp8dqd4ghkJ3h1giiUnyhykwHh7tYWjondo,9,stock
BAon,Boeing,1YVZ4LGpq8CAhpdpm3mgy7GgPb83gJczCpxLUQ3ondo,9,stock
COSTon,Costco,6btaz134wjHkR8sqhAYrtSM6tavftfxnRvnyMd8ondo,9,stock
CRMon,Salesforce,7D7ukbcnUNYt7Et5vtsDZhAy28MKu9pkHka1Hp9ondo,9,stock
CRWDon,CrowdStrike,cdKfoNjbXgnSuxvoajhtH3uixfZhq1YXhQsS1Rwondo,9,stock
DISon,Disney,mJf1xT3suXtkXBCfZcE9oUUuyxkvSgqYBWiX7v1ondo,9,stock
GMEon,GameStop,aznKt8v32CwYMEcTcB4bGTv8DXWStCpHrcCtyy7ondo,9,stock
GSon,Goldman Sachs,BchJRy2snmhJZf3rQ9LJ3ePs2BGfYgfvQNo31d2ondo,9,stock
HDon,Home Depot,MtEXKVN3Pcggy8MPA3eJr15H6SK3RXheScqj9qtondo,9,stock
IBMon,IBM,C8bZkgSxXkyT1RgxByp2teJ24hgimPLoyEYoNa9ondo,9,stock
INTCon,Intel,cJpUMp5R7rZ6fGeLHbHhrRuJzK9mkyKDjZqNpT3ondo,9,stock
IWMon,Russell 2000 ETF,dvj2kKFSyjpnyYSYppgFdAEVfgjMEoQGi9VaV23ondo,9,stock
JNJon,Johnson & Johnson,KUXt7LzHWSQXp5eyqMZRxWjAP6yM8BUh4LRHwiwondo,9,stock
JPMon,JPMorgan,E5Gczsavxcomqf6Cw1sGCKLabL1xYD2FzKxVoB4ondo,9,stock
KOon,Coca-Cola,e6G4pfFcrdKxJuZ4YXixRFfMbpMvgXG2Mjcus71ondo,9,stock
MAon,Mastercard,EsVHcyRxXFJCLMiuYLWhoDygrNe1BJGpYeZ17X7ondo,9,stock
MRNAon,Moderna,14VP7DvCAdBCc5XGNZkPt6zhtPzJrWWS64Koxtxyondo,9,stock
